                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.394,                 1.9867,                  1.419,                 0.8144,                0.54998,                0.64502,                0.43535,                 1.3738,                 3.9425,                 1.3198,             0.00023786,             0.00023786,             0.00023786
                      2,                 1.2321,                 1.2019,                 1.2589,                0.81574,                0.57844,                0.65105,                0.42574,                 1.3788,                 2.5748,                 1.3279,             0.00042875,             0.00042875,             0.00042875
                      3,                 1.1651,                 1.0407,                 1.2082,                0.82893,                0.62198,                0.70534,                0.49008,                 1.2322,                 3.2432,                 1.2079,             0.00057252,             0.00057252,             0.00057252
                      4,                   1.09,                0.94177,                 1.1631,                0.83255,                0.63741,                0.73456,                0.50275,                 1.2377,                 2.1869,                  1.197,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.0412,                0.87564,                 1.1348,                 0.8364,                0.67191,                0.75528,                0.51608,                 1.2346,                 2.5661,                 1.1809,             0.00050194,             0.00050194,             0.00050194
                      6,                0.98407,                0.81378,                 1.1074,                0.84611,                0.66629,                0.75861,                 0.5234,                 1.2201,                 2.2583,                  1.184,             0.00043126,             0.00043126,             0.00043126
                      7,                0.92546,                0.76047,                 1.0796,                0.85453,                0.67067,                0.76216,                0.52234,                 1.2272,                 2.6409,                 1.1852,             0.00036057,             0.00036057,             0.00036057
                      8,                0.88119,                0.72194,                 1.0611,                0.84865,                0.68396,                 0.7699,                0.53496,                 1.2035,                 2.7243,                 1.1689,             0.00028988,             0.00028988,             0.00028988
                      9,                0.83368,                0.68072,                 1.0389,                0.86575,                0.69902,                0.77987,                0.53506,                 1.2276,                 2.9894,                 1.1828,              0.0002192,              0.0002192,              0.0002192
                     10,                0.79329,                0.64219,                 1.0233,                0.85751,                 0.6996,                0.78226,                0.54473,                 1.1963,                 2.7805,                  1.168,             0.00014851,             0.00014851,             0.00014851
