                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4848,                 3.1062,                 1.5833,                0.64751,                0.43108,                0.52504,                0.30906,                  1.499,                 4.1668,                 1.6091,             0.00023781,             0.00023781,             0.00023781
                      2,                 1.3771,                 1.9458,                 1.4488,                0.78166,                0.53082,                0.61041,                0.41175,                 1.3855,                 2.2963,                 1.4947,              0.0004287,              0.0004287,              0.0004287
                      3,                 1.3283,                 1.7174,                 1.4094,                0.82939,                0.55765,                0.64789,                0.44873,                 1.3296,                 2.6937,                 1.4469,             0.00057248,             0.00057248,             0.00057248
                      4,                 1.2696,                 1.5866,                 1.3566,                0.83034,                0.61991,                0.70533,                0.48636,                 1.2905,                 2.4236,                 1.3825,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.2226,                  1.505,                 1.3293,                0.85243,                0.59541,                0.69662,                0.47694,                 1.2745,                 2.7071,                 1.3952,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.1631,                 1.4481,                 1.2895,                0.82339,                0.57328,                0.69373,                 0.4743,                 1.2641,                  2.119,                 1.3793,             0.00043126,             0.00043126,             0.00043126
                      7,                 1.1049,                  1.371,                 1.2566,                0.86364,                0.61533,                0.72171,                0.49431,                 1.2408,                 2.2409,                 1.3526,             0.00036057,             0.00036057,             0.00036057
                      8,                 1.0559,                 1.3286,                 1.2329,                0.84818,                0.63168,                0.73287,                0.49908,                 1.2475,                 2.1987,                 1.3538,             0.00028988,             0.00028988,             0.00028988
                      9,                 1.0055,                  1.276,                 1.1999,                0.86377,                0.66474,                0.75252,                0.51326,                 1.2422,                 2.1361,                 1.3498,              0.0002192,              0.0002192,              0.0002192
                     10,                0.95762,                 1.2431,                 1.1811,                0.86845,                0.66272,                0.75875,                0.51911,                 1.2025,                 2.0509,                 1.3214,             0.00014851,             0.00014851,             0.00014851
