                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 103.18,                      0,                0.00203,                0.03033,                0.00109,                 0.0002,                 3.1115,                 5.8792,                 3.2313,             0.00023724,             0.00023724,             0.00023724
                      2,                      0,                  59.64,                      0,                0.00203,                0.03033,                0.00109,                 0.0002,                 3.0195,                 4.2484,                 3.4401,             0.00042819,             0.00042819,             0.00042819
                      3,                      0,                 22.973,                      0,                0.00203,                0.03033,                0.00109,                 0.0002,                 3.1721,                  4.794,                 3.5461,             0.00057202,             0.00057202,             0.00057202
                      4,                      0,                 6.7515,                      0,                0.00203,                0.03033,                0.00109,                 0.0002,                 3.0596,                 5.3617,                  3.338,             0.00050194,             0.00050194,             0.00050194
                      5,                      0,                 1.7452,                      0,                0.00203,                0.03033,                0.00109,                 0.0002,                 3.1101,                 6.1268,                 3.4871,             0.00050194,             0.00050194,             0.00050194
                      6,                      0,                0.41024,                      0,                0.00203,                0.03033,                0.00109,                 0.0002,                 3.0646,                 6.7831,                 3.4711,             0.00043126,             0.00043126,             0.00043126
                      7,                      0,                0.10727,                      0,                0.00203,                0.03033,                0.00109,                 0.0002,                 3.0702,                 7.2812,                 3.4371,             0.00036057,             0.00036057,             0.00036057
                      8,                      0,                0.03092,                      0,                0.00203,                0.03033,                0.00109,                 0.0002,                 3.0953,                 7.4981,                 3.4213,             0.00028988,             0.00028988,             0.00028988
                      9,                      0,                0.02444,                      0,                0.00203,                0.03033,                0.00109,                 0.0002,                  3.068,                 7.6357,                 3.4153,              0.0002192,              0.0002192,              0.0002192
                     10,                      0,                 0.0223,                      0,                0.00203,                0.03033,                0.00109,                 0.0002,                 3.0327,                  7.721,                 3.3588,             0.00014851,             0.00014851,             0.00014851
