                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4545,                  19.57,                 1.5671,                0.00899,                0.70821,                0.08614,                0.04555,                 1.4633,                 5.0129,                 1.6355,             0.00023775,             0.00023775,             0.00023775
                      2,                 1.4439,                 9.5525,                 1.5534,                0.07501,                0.59177,                0.21018,                0.10855,                 1.6841,                 3.5405,                 1.8328,             0.00042865,             0.00042865,             0.00042865
                      3,                 1.4656,                 5.0383,                 1.5056,                0.14809,                 0.3518,                0.26912,                0.17724,                 1.5431,                 3.7026,                  1.683,             0.00057242,             0.00057242,             0.00057242
                      4,                 1.4509,                  3.963,                 1.4679,                0.20274,                0.58349,                0.36668,                0.24242,                 1.5495,                 3.2739,                 1.6229,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.3989,                 3.6458,                 1.4108,                 0.2886,                 0.6091,                0.47107,                0.31032,                 1.4522,                 3.1828,                 1.5629,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.3893,                   3.45,                 1.4089,                0.28566,                0.68206,                0.54014,                0.36011,                 1.4576,                 3.0977,                 1.5431,             0.00043126,             0.00043126,             0.00043126
                      7,                 1.3556,                 3.3031,                 1.3832,                0.28367,                0.70896,                0.55485,                0.35896,                 1.4593,                 2.9086,                 1.5169,             0.00036057,             0.00036057,             0.00036057
                      8,                 1.3427,                 3.2425,                 1.3689,                0.17378,                0.76861,                 0.5863,                0.39122,                 1.3919,                 2.7533,                 1.4651,             0.00028988,             0.00028988,             0.00028988
                      9,                 1.2784,                 3.1472,                 1.3235,                0.33878,                0.68506,                0.56458,                0.39164,                 1.3193,                 3.0618,                 1.4437,              0.0002192,              0.0002192,              0.0002192
                     10,                   1.24,                 3.0978,                  1.304,                0.26577,                0.73096,                0.62847,                0.44115,                 1.3124,                 2.8086,                 1.4212,             0.00014851,             0.00014851,             0.00014851
