                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4193,                 2.3619,                 1.5369,                0.80501,                0.55978,                0.63618,                 0.4197,                 1.3606,                 3.6494,                 1.4405,             0.00023785,             0.00023785,             0.00023785
                      2,                 1.2705,                 1.4039,                 1.3726,                0.80909,                0.58046,                0.66098,                0.45019,                 1.3224,                 2.9959,                 1.4319,             0.00042874,             0.00042874,             0.00042874
                      3,                 1.2124,                 1.2279,                 1.3297,                0.83668,                0.61631,                0.70713,                0.46866,                 1.3137,                 2.5375,                 1.4024,             0.00057251,             0.00057251,             0.00057251
                      4,                 1.1454,                 1.1182,                 1.2826,                0.85714,                0.60656,                0.71081,                 0.4837,                 1.2386,                 3.1909,                 1.3527,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.0954,                 1.0541,                  1.252,                0.84577,                0.65838,                0.75387,                0.51513,                 1.2382,                 2.1442,                 1.3482,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.0266,                  0.986,                 1.2114,                0.86987,                0.65606,                0.74923,                0.52019,                 1.2291,                  2.777,                 1.3465,             0.00043126,             0.00043126,             0.00043126
                      7,                0.97346,                0.93565,                 1.1823,                0.87028,                0.61818,                0.73682,                0.50633,                 1.2195,                 2.8055,                 1.3379,             0.00036057,             0.00036057,             0.00036057
                      8,                0.92108,                0.89606,                 1.1565,                0.84894,                0.66076,                  0.753,                0.51698,                 1.2313,                  2.496,                 1.3534,             0.00028988,             0.00028988,             0.00028988
                      9,                 0.8747,                0.86171,                 1.1305,                0.86809,                0.64588,                0.75857,                0.51773,                 1.2208,                 2.4533,                 1.3553,              0.0002192,              0.0002192,              0.0002192
                     10,                0.82954,                0.82478,                 1.1129,                0.86601,                0.68734,                0.78475,                 0.5413,                 1.2114,                 2.0987,                 1.3501,             0.00014851,             0.00014851,             0.00014851
